Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
100,B084VZTXBP,Men's Straight Fit Carrot Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,809,3.7,187,66,,1,187,https://m.media-amazon.com/images/I/81QcbuXUuXL._UX522_.jpg,Jean,Men's Straight Fit Carrot Stretchable Jeans,SKU: B084VZTXBP
101,B07VCG3TG7,Men's Light Blue Slim Fit Denim Jeans Stretchable,Urbano Fashion,0,0,0,649,3.5,588,57,,1,588,https://m.media-amazon.com/images/I/61nJ6tJX0VL._AC_UL320_.jpg,Jean,Men's Light Blue Slim Fit Denim Jeans Stretchable,SKU: B07VCG3TG7
102,B0866SX5DZ,Men's Brown Regular Fit Denim Jeans Stretchable,Urbano Plus,0,0,0,759,4,680,55,,1,680,https://m.media-amazon.com/images/I/61MLz2-l4YL._AC_UL320_.jpg,Jean,Men's Brown Regular Fit Denim Jeans Stretchable,SKU: B0866SX5DZ
103,B09172KWJ4,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,3.9,68,66,,1,68,https://m.media-amazon.com/images/I/61-eglgl4rL._AC_UL320_.jpg,Jean,Womens High Rise Cotton Lycra Jeans,SKU: B09172KWJ4
104,B082Z3JDK4,Women's Regular Fit Jeans,dermawear,0,0,0,"1,239",3.8,782,17,,1,782,https://m.media-amazon.com/images/I/41wAiLvYc6L._UX522_.jpg,Jean,Women's Regular Fit Jeans,SKU: B082Z3JDK4
105,B08XMPF5C1,by Shoppers Solid Cotton Rich Regular Fit Boys Jeans (S21710BJNS-P),STOP,0,0,0,210,3.9,125,70,,0,125,https://m.media-amazon.com/images/I/51iQbJ5dOaL._AC_UL320_.jpg,Jean,by Shoppers Solid Cotton Rich Regular Fit Boys Jeans (S21710BJNS-P),SKU: B08XMPF5C1
106,B092D4DM5Y,Girl's Slim Fit Jeans/Joggers/Bottom Pack of 3,KIFAYATI BAZAR,0,0,0,503,3.2,217,69,,1,217,https://m.media-amazon.com/images/I/51dlGoJ9RBL._AC_UL320_.jpg,Jean,Girl's Slim Fit Jeans/Joggers/Bottom Pack of 3,SKU: B092D4DM5Y
107,B074RMN99F,Men's Slim Fit Jogger Jeans Stretch,Urbano Fashion,0,0,0,725,3.7,"4,003",52,,1,"4,003",https://m.media-amazon.com/images/I/61UZtv8GRtL._AC_UL320_.jpg,Jean,Men's Slim Fit Jogger Jeans Stretch,SKU: B074RMN99F
108,B098K7VDV9,Boy's Regular Jeans,U.S. Polo Assn. Kids,0,0,0,899,4.2,13,44,,1,13,https://m.media-amazon.com/images/I/91jY03uYniL._UY550_.jpg,Jean,Boy's Regular Jeans,SKU: B098K7VDV9
109,B06Y5HF9GV,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,589,3.4,492,76,,1,492,https://m.media-amazon.com/images/I/61+e1RZI11L._AC_UL320_.jpg,Jean,Men's Relaxed Fit Jeans,SKU: B06Y5HF9GV
110,B085GBNQQW,Men Cut and Sew Denim Jeans,Campus Sutra,0,0,0,719,3.3,"1,279",58,,1,"1,279",https://m.media-amazon.com/images/I/61flYqKNDPL._AC_UL320_.jpg,Jean,Men Cut and Sew Denim Jeans,SKU: B085GBNQQW
111,B094VXRVHR,Men's Skinny Jeans,NEWPORT,0,0,0,499,3.7,749,71,,1,749,https://m.media-amazon.com/images/I/81z6yQPFUaL._UX522_.jpg,Jean,Men's Skinny Jeans,SKU: B094VXRVHR
112,B0796T2B88,jannon Women's Solid Stretchable High Waist Slim Fit Jeans,Generic,0,0,0,499,3.9,972,67,,1,972,https://m.media-amazon.com/images/I/61YZGvXEaWL._UY550_.jpg,Jean,jannon Women's Solid Stretchable High Waist Slim Fit Jeans,SKU: B0796T2B88
113,B09BVWZC9Z,mens Jeans,Levi's,0,0,0,"1,707",3.8,53,39,,1,53,https://m.media-amazon.com/images/I/81iVZ7r11NL._UX522_.jpg,Jean,mens Jeans,SKU: B09BVWZC9Z
114,B09DD3JVQK,Women's Boyfriend Skinny Jeans,VERO MODA,0,0,0,906,4.2,23,70,,1,23,https://m.media-amazon.com/images/I/51IBL0bobRL._AC_UL320_.jpg,Jean,Women's Boyfriend Skinny Jeans,SKU: B09DD3JVQK
115,B082638MM1,Men's Slim Fit Jeans,"L,Zard",0,0,0,499,3.5,406,78,,1,406,https://m.media-amazon.com/images/I/41s4My+nEDL._AC_UL320_.jpg,Jean,Men's Slim Fit Jeans,SKU: B082638MM1
116,B094VX57MJ,Men's Slim Jeans,NEWPORT,0,0,0,497,3.8,792,71,,0,792,https://m.media-amazon.com/images/I/81levWk8iNL._AC_UL320_.jpg,Jean,Men's Slim Jeans,SKU: B094VX57MJ
117,B096YFYMRM,Men's Jogger Regular Jeans,Levi's,0,0,0,"1,215",4,28,55,,1,28,,Jean,Men's Jogger Regular Jeans,SKU: B096YFYMRM
118,B07DPSSZZ5,Men's Stretch Carrot Jeans,Amazon Brand - Symbol,0,0,0,759,3.6,481,64,,1,481,https://m.media-amazon.com/images/I/8106Vjhm+3L._AC_UL320_.jpg,Jean,Men's Stretch Carrot Jeans,SKU: B07DPSSZZ5
119,B073HHXKS3,Women High Waist Slim Trendy Fit Jeans,Broadstar,0,0,0,719,3.8,"2,485",64,,1,"2,485",https://m.media-amazon.com/images/I/71WYP5UHUeL._UY550_.jpg,Jean,Women High Waist Slim Trendy Fit Jeans,SKU: B073HHXKS3
120,B07W488M9K,Women's Skinny Jeans,AKA CHIC,0,0,0,938,3.9,752,65,,1,752,https://m.media-amazon.com/images/I/813TiH8DH2L._AC_UL320_.jpg,Jean,Women's Skinny Jeans,SKU: B07W488M9K
121,B07W8MK8FQ,Women's Slim Jeans,AKA CHIC,0,0,0,873,4,235,68,,1,235,https://m.media-amazon.com/images/I/71maNuSD4BL._UY550_.jpg,Jean,Women's Slim Jeans,SKU: B07W8MK8FQ
122,B08ZD84LCV,Men's Carrot Slim Jeans,EASYBUY,0,0,0,546,4,9,32,,1,9,https://m.media-amazon.com/images/I/81M37nBQU1S._UY550_.jpg,Jean,Men's Carrot Slim Jeans,SKU: B08ZD84LCV
123,B0979CDZ8L,Men's Boyfriend Stretch Jeans,Spykar,0,0,0,"1,303",4.2,116,53,,1,116,,Jean,Men's Boyfriend Stretch Jeans,SKU: B0979CDZ8L
124,B098LHPYMY,Men's Skinny Jeans,Easies by Killer,0,0,0,"1,006",3.1,11,70,,1,11,https://m.media-amazon.com/images/I/819-OJMcDLL._AC_UL320_.jpg,Jean,Men's Skinny Jeans,SKU: B098LHPYMY
125,B07YCX1CV8,Men's 5 Pockets Slim Denim Stretch Jeans,RING OF FIRE,0,0,0,0,4.4,68,0,,0,68,https://m.media-amazon.com/images/I/61+VMsq3+iL._AC_UX342_.jpg,Jean,Men's 5 Pockets Slim Denim Stretch Jeans,SKU: B07YCX1CV8
126,B07L6PB3FV,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,599,3.8,"2,093",63,,1,"2,093",https://m.media-amazon.com/images/I/91mXH+SEo7L._AC_UL320_.jpg,Jean,Men's Slim Fit Stretchable Jeans,SKU: B07L6PB3FV
127,B08R8JVV2S,Girls Blue Denim Jeggings for 5 to 15 Years,Naughty Ninos,0,0,0,696,3.9,166,59,,1,166,https://m.media-amazon.com/images/I/61WcMgOQj6L._AC_UL320_.jpg,Jean,Girls Blue Denim Jeggings for 5 to 15 Years,SKU: B08R8JVV2S
128,B07SD3VBFR,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,0,0,0,781,3.5,"1,204",48,,1,"1,204",https://m.media-amazon.com/images/I/81E-m0fwsIL._AC_UL320_.jpg,Jean,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,SKU: B07SD3VBFR
129,B08V6VXXQH,Women's Joggers,dockstreet,0,0,0,398,3.2,"1,727",72,,1,"1,727",https://m.media-amazon.com/images/I/5166B59OSNL._AC_UL320_.jpg,Jean,Women's Joggers,SKU: B08V6VXXQH
130,B07CN82DX9,Women's High Rise Slim Jeans,AKA CHIC,0,0,0,690,3.9,597,64,,1,597,https://m.media-amazon.com/images/I/81HFJD+5hUL._AC_UL320_.jpg,Jean,Women's High Rise Slim Jeans,SKU: B07CN82DX9
131,B099J4QYDN,Men's Carrot Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,799,4,45,73,,1,45,https://m.media-amazon.com/images/I/71pkQz0I4xL._UY550_.jpg,Jean,Men's Carrot Jeans,SKU: B099J4QYDN
132,B081LJ99M9,Girls' Slim Fit Jeans,ELENDRA,0,0,0,499,3.8,208,83,,1,208,https://m.media-amazon.com/images/I/71Pyg7XfQGL._AC_UL320_.jpg,Jean,Girls' Slim Fit Jeans,SKU: B081LJ99M9
133,B083ZZZT3V,Women's Skinny Fit Jeans,Malachi,0,0,0,699,3.7,67,65,,1,67,https://m.media-amazon.com/images/I/5140-As9tWL._AC_UL320_.jpg,Jean,Women's Skinny Fit Jeans,SKU: B083ZZZT3V
134,B08XLF6N78,Women's Skinny Fit Jeans,AKA CHIC,0,0,0,448,3.8,7,81,,0,7,https://m.media-amazon.com/images/I/61YBmahadOL._AC_UL320_.jpg,Jean,Women's Skinny Fit Jeans,SKU: B08XLF6N78
